Class,NN Precision,NP Precision,NN Recall,NP Recall,NN F1,NP F1
airplane,73.41383193180492,75.97049938270317,73.5,72.95,72.98357462677605,74.26244236480561
automobile,79.87055132354732,82.47532129402772,82.42,82.29,80.9344913002699,82.25200713738184
bird,64.52207852157525,60.723913525084484,56.21000000000001,57.809999999999995,58.51822602098582,58.715693908006614
cat,53.21123579619146,52.09965738947798,45.13000000000001,50.39,48.42543189057409,50.897741143272015
deer,67.33077777278457,65.97251143819301,61.58,65.24,62.96696689810334,65.30138205926534
dog,55.57240385018726,62.1773516772347,68.32000000000001,60.89,59.79218878472253,60.65933636624895
frog,76.62555598729406,74.75550957006571,76.55000000000001,79.16999999999999,75.93191572013123,76.3647443128309
horse,78.51854294430271,76.37258344031366,71.91,75.13000000000001,74.78958559573134,75.60684270012405
ship,81.93924524776988,83.20837697630957,80.52,80.85000000000001,81.03519101772045,81.64776566956775
truck,77.05610354155817,77.29661781173549,77.91,79.78999999999999,77.06737149452894,78.24966706980075
